Customer_ID,Age,Gender,Annual_Income,Spending_Score,Subscription_Type,Purchase_Frequency,Customer_Tenure,Channel,Product_Category
121,58,Female,49180,36,Basic,4,7,In-Store,Home & Kitchen
122,22,Male,90341,77,Basic,13,2,Mobile App,Beauty
123,58,Male,90341,36,Standard,9,6,Online,Beauty
124,38,Female,49180,79,Basic,4,6,In-Store,Clothing
125,38,Male,90341,64,Standard,12,3,In-Store,Clothing
126,22,Female,49180,89,Basic,9,4,Online,Beauty
127,38,Male,116601,72,Premium,11,4,In-Store,Clothing
128,58,Male,49180,36,Premium,4,9,In-Store,Beauty
129,58,Female,116601,37,Premium,2,6,Online,Clothing
130,22,Male,90341,73,Basic,3,2,Online,Beauty
131,38,Male,90341,55,Standard,13,5,In-Store,Toys
132,22,Male,116601,89,Premium,26,1,Online,Electronics
133,38,Male,116601,60,Premium,4,5,Mobile App,Sports
134,38,Female,49180,70,Standard,17,3,In-Store,Electronics
135,38,Female,90341,78,Basic,7,4,Online,Toys
136,38,Female,49180,44,Standard,13,5,Online,Electronics
137,22,Female,116601,83,Premium,22,3,Online,Electronics
138,58,Female,90341,25,Basic,13,7,In-Store,Automotive
139,58,Male,49180,23,Basic,4,7,In-Store,Home & Kitchen
140,38,Female,116601,50,Premium,12,5,Online,Sports
141,38,Female,90341,75,Standard,10,5,Mobile App,Home & Kitchen
142,38,Male,116601,75,Premium,5,4,In-Store,Automotive
143,22,Male,49180,99,Basic,3,4,Online,Clothing
144,58,Female,116601,11,Standard,7,8,In-Store,Clothing
145,38,Female,49180,65,Standard,15,6,Online,Automotive
146,58,Male,49180,12,Basic,3,6,Online,Home & Kitchen
147,22,Male,90341,98,Premium,26,2,Online,Toys
148,22,Male,49180,85,Basic,12,3,Mobile App,Beauty
149,58,Male,116601,31,Premium,13,7,In-Store,Clothing
150,38,Female,116601,52,Premium,8,4,Online,Automotive
151,38,Male,49180,52,Basic,11,5,In-Store,Electronics
152,58,Male,90341,39,Standard,14,8,In-Store,Books
153,58,Female,116601,31,Standard,14,7,In-Store,Home & Kitchen
154,38,Male,49180,74,Basic,3,6,Mobile App,Beauty
155,22,Male,90341,71,Standard,18,2,Mobile App,Toys
156,22,Male,90341,91,Standard,11,1,Mobile App,Clothing
157,22,Male,90341,80,Standard,10,3,Online,Clothing
158,22,Male,90341,99,Standard,19,4,Online,Clothing
159,22,Male,90341,82,Standard,10,1,Online,Home & Kitchen
160,38,Male,116601,52,Standard,10,6,Online,Electronics
161,38,Female,49180,66,Standard,18,4,Online,Beauty
162,22,Male,116601,92,Premium,28,4,Online,Sports
163,22,Male,49180,71,Basic,6,1,In-Store,Home & Kitchen
164,58,Male,49180,18,Basic,4,6,In-Store,Home & Kitchen
165,58,Female,90341,32,Basic,13,5,In-Store,Sports
166,22,Male,90341,72,Standard,15,4,Online,Clothing
167,22,Female,116601,90,Premium,21,3,Online,Toys
168,58,Female,90341,36,Premium,1,7,In-Store,Home & Kitchen
169,58,Male,49180,29,Basic,13,9,In-Store,Clothing
170,38,Male,49180,56,Premium,13,4,In-Store,Electronics
171,58,Male,49180,29,Standard,3,5,In-Store,Home & Kitchen
172,22,Female,49180,94,Basic,14,4,In-Store,Clothing
173,22,Female,49180,79,Standard,17,4,Online,Home & Kitchen
174,22,Female,116601,98,Premium,24,3,Online,Toys
175,58,Female,49180,24,Basic,9,8,Mobile App,Clothing
176,22,Female,116601,72,Premium,22,4,Online,Clothing
177,58,Female,90341,17,Standard,6,6,In-Store,Home & Kitchen
178,38,Male,90341,57,Standard,15,3,Online,Sports
179,58,Male,49180,26,Basic,12,8,Online,Toys
180,58,Male,116601,47,Premium,8,8,Online,Electronics
181,38,Female,49180,40,Standard,10,3,In-Store,Electronics
182,58,Male,49180,13,Basic,10,7,In-Store,Books
183,58,Male,49180,42,Basic,6,5,In-Store,Books
184,38,Male,90341,60,Basic,2,6,In-Store,Home & Kitchen
185,38,Male,90341,48,Standard,10,6,Online,Electronics
186,58,Female,116601,41,Standard,11,6,In-Store,Beauty
187,22,Male,116601,98,Basic,7,1,Mobile App,Sports
188,22,Female,49180,85,Basic,8,4,Online,Clothing
189,38,Male,116601,67,Premium,13,4,Online,Automotive
190,22,Male,116601,96,Premium,16,4,Online,Sports
191,58,Female,90341,26,Standard,2,6,In-Store,Sports
192,58,Male,49180,21,Basic,13,8,In-Store,Books
193,22,Female,49180,97,Basic,13,2,Online,Clothing
194,58,Male,90341,45,Standard,14,6,In-Store,Books
195,58,Male,116601,28,Premium,2,9,Online,Beauty
196,58,Female,49180,41,Basic,14,9,In-Store,Books
197,22,Male,49180,83,Basic,13,2,Online,Clothing
198,58,Female,49180,44,Basic,3,9,In-Store,Home & Kitchen
199,38,Female,116601,53,Standard,13,6,In-Store,Books
200,22,Female,49180,76,Basic,13,1,Online,Beauty
201,38,Male,116601,77,Standard,11,4,Online,Clothing
202,58,Male,116601,47,Standard,7,8,Online,Beauty
203,22,Male,90341,99,Standard,13,2,Online,Electronics
204,58,Male,49180,24,Basic,2,9,In-Store,Home & Kitchen
205,22,Female,90341,98,Premium,22,3,Online,Toys
206,38,Male,49180,55,Basic,6,6,Online,Automotive
207,58,Male,90341,14,Standard,12,7,Mobile App,Home & Kitchen
208,58,Female,116601,20,Premium,2,9,In-Store,Home & Kitchen
209,58,Male,90341,48,Standard,2,6,In-Store,Beauty
210,58,Male,49180,39,Basic,11,7,In-Store,Electronics
211,58,Male,49180,48,Basic,8,9,In-Store,Home & Kitchen
212,58,Female,116601,43,Standard,9,9,In-Store,Home & Kitchen
213,58,Male,49180,46,Basic,13,9,In-Store,Home & Kitchen
214,22,Male,90341,74,Standard,19,3,Mobile App,Electronics
215,58,Male,49180,31,Basic,4,9,In-Store,Home & Kitchen
216,22,Female,49180,75,Premium,24,3,Online,Electronics
217,38,Male,49180,57,Standard,14,6,In-Store,Electronics
218,58,Female,116601,31,Basic,3,7,In-Store,Books
219,22,Female,116601,82,Premium,15,2,Online,Clothing
220,38,Male,116601,61,Premium,7,4,Mobile App,Clothing
221,38,Male,90341,55,Standard,14,4,Mobile App,Beauty
222,38,Male,49180,55,Basic,6,6,In-Store,Electronics
223,22,Female,116601,88,Premium,21,2,Mobile App,Clothing
224,58,Male,49180,40,Standard,6,5,In-Store,Automotive
225,22,Female,49180,77,Basic,5,1,Online,Clothing
226,22,Female,49180,73,Basic,4,2,Online,Clothing
227,38,Female,90341,55,Basic,9,6,Mobile App,Clothing
228,22,Female,116601,85,Premium,15,4,Mobile App,Electronics
229,58,Male,116601,29,Premium,4,7,In-Store,Home & Kitchen
230,58,Female,49180,26,Premium,8,6,Online,Home & Kitchen
231,38,Male,90341,73,Standard,10,6,In-Store,Sports
232,58,Female,49180,20,Standard,12,8,In-Store,Books
233,38,Male,116601,44,Premium,4,4,Online,Sports
234,22,Male,116601,74,Premium,27,1,In-Store,Sports
235,38,Male,90341,71,Standard,17,5,In-Store,Books
236,38,Female,116601,55,Premium,7,4,Online,Beauty
237,58,Male,49180,23,Basic,9,8,Online,Books
238,38,Male,90341,78,Standard,10,3,In-Store,Clothing
239,38,Female,49180,70,Standard,13,5,Online,Electronics
240,22,Female,116601,74,Premium,22,2,In-Store,Books
241,58,Female,90341,48,Basic,12,8,In-Store,Automotive
242,22,Female,49180,92,Basic,8,1,Online,Beauty
243,22,Male,90341,90,Standard,14,4,Online,Beauty
244,58,Male,49180,48,Standard,3,5,Online,Books
245,22,Male,49180,86,Standard,18,3,Online,Toys
246,38,Male,49180,69,Basic,11,5,In-Store,Sports
247,22,Female,90341,96,Standard,10,1,Mobile App,Beauty
248,58,Female,49180,37,Basic,9,7,In-Store,Beauty
249,22,Male,90341,90,Standard,16,1,Online,Home & Kitchen
250,38,Male,90341,63,Premium,9,4,In-Store,Electronics
251,58,Female,49180,10,Basic,5,8,Online,Home & Kitchen
252,22,Female,90341,90,Basic,1,3,Online,Sports
253,38,Female,49180,71,Basic,6,4,Online,Electronics
254,38,Male,49180,46,Basic,2,4,In-Store,Clothing
255,22,Male,90341,88,Standard,16,3,Mobile App,Home & Kitchen
256,22,Male,116601,72,Premium,18,4,Online,Electronics
257,58,Female,116601,26,Standard,1,7,In-Store,Books
258,38,Male,116601,54,Standard,10,4,Online,Clothing
259,38,Female,116601,61,Premium,7,4,Mobile App,Toys
260,38,Male,116601,41,Premium,14,5,In-Store,Clothing
261,22,Female,116601,84,Standard,15,2,Online,Beauty
262,38,Male,116601,79,Standard,16,6,Online,Home & Kitchen
263,38,Female,116601,47,Premium,2,4,Online,Home & Kitchen
264,58,Female,90341,40,Standard,7,5,In-Store,Sports
265,22,Male,90341,97,Standard,12,1,Online,Electronics
266,22,Male,116601,76,Premium,15,2,Online,Toys
267,58,Female,90341,34,Premium,13,8,In-Store,Home & Kitchen
268,38,Female,49180,60,Basic,10,5,Online,Clothing
269,38,Male,90341,61,Standard,12,3,Online,Home & Kitchen
270,58,Female,90341,33,Standard,5,5,Online,Home & Kitchen
271,22,Female,90341,74,Standard,13,3,Online,Electronics
272,58,Female,90341,42,Standard,9,5,In-Store,Toys
273,38,Female,90341,66,Standard,15,6,Mobile App,Home & Kitchen
274,58,Female,116601,48,Premium,5,7,In-Store,Clothing
275,58,Male,49180,16,Basic,5,7,In-Store,Clothing
276,58,Female,90341,48,Standard,4,6,In-Store,Toys
277,58,Male,116601,34,Premium,5,9,In-Store,Home & Kitchen
278,22,Female,116601,70,Standard,14,1,Online,Clothing
279,22,Female,116601,85,Premium,22,4,Online,Electronics
280,22,Female,90341,85,Standard,15,1,Online,Electronics
281,38,Female,90341,52,Standard,19,6,Online,Electronics
282,22,Male,49180,88,Basic,1,2,Online,Books
283,58,Female,116601,49,Premium,6,8,Online,Home & Kitchen
284,22,Male,90341,87,Standard,17,2,In-Store,Beauty
285,38,Female,49180,53,Premium,4,5,In-Store,Automotive
286,38,Male,90341,53,Standard,12,3,Online,Clothing
287,58,Female,90341,12,Standard,6,9,In-Store,Beauty
288,22,Male,90341,85,Standard,12,3,Online,Clothing
289,38,Female,90341,64,Standard,18,6,In-Store,Home & Kitchen
290,38,Male,49180,61,Basic,1,6,In-Store,Electronics
291,22,Female,116601,76,Standard,12,3,Online,Sports
292,22,Male,49180,85,Basic,9,1,Online,Home & Kitchen
293,58,Male,116601,20,Premium,11,5,Online,Electronics
294,22,Male,49180,85,Basic,6,4,Online,Electronics
295,22,Male,116601,85,Premium,16,1,Mobile App,Beauty
296,22,Female,116601,81,Standard,12,1,Online,Toys
297,38,Female,90341,65,Premium,12,6,In-Store,Home & Kitchen
298,22,Female,49180,93,Basic,2,2,Online,Automotive
299,22,Male,116601,88,Premium,15,2,Online,Electronics
300,38,Male,116601,45,Standard,18,4,In-Store,Clothing
301,58,Male,116601,48,Premium,11,8,In-Store,Books
302,38,Male,49180,41,Basic,9,6,In-Store,Electronics
303,58,Female,116601,41,Standard,12,8,In-Store,Home & Kitchen
304,22,Female,116601,93,Basic,7,2,In-Store,Electronics
305,38,Female,90341,46,Standard,15,6,Online,Toys
306,38,Male,90341,42,Premium,9,6,In-Store,Clothing
307,58,Male,116601,32,Premium,13,6,In-Store,Clothing
308,22,Male,90341,94,Standard,17,1,Online,Clothing
309,22,Female,49180,88,Premium,23,3,Online,Electronics
310,22,Female,49180,97,Basic,4,1,Online,Clothing
311,58,Female,90341,28,Standard,1,8,In-Store,Books
312,38,Female,116601,63,Standard,16,3,In-Store,Automotive
313,38,Male,90341,49,Standard,18,3,In-Store,Home & Kitchen
314,58,Male,90341,31,Standard,5,6,Mobile App,Home & Kitchen
315,38,Female,90341,66,Standard,14,5,In-Store,Clothing
316,58,Male,116601,14,Standard,2,9,In-Store,Books
317,58,Female,49180,40,Basic,7,8,Online,Books
318,38,Male,116601,55,Standard,14,6,Mobile App,Electronics
319,22,Female,116601,84,Basic,4,4,In-Store,Electronics
320,58,Female,90341,22,Standard,14,6,In-Store,Books
321,58,Male,49180,17,Basic,10,6,In-Store,Home & Kitchen
322,38,Female,90341,47,Standard,10,5,Online,Books
323,58,Male,90341,30,Basic,5,7,In-Store,Beauty
324,58,Female,90341,31,Standard,5,5,Mobile App,Electronics
325,38,Male,90341,70,Basic,4,6,Mobile App,Clothing
326,22,Male,90341,94,Standard,16,3,Online,Sports
327,22,Male,49180,95,Standard,12,3,Online,Electronics
328,38,Female,116601,47,Premium,2,5,Online,Automotive
329,38,Female,116601,61,Premium,7,4,In-Store,Beauty
330,22,Female,49180,99,Basic,6,1,Online,Electronics
331,58,Female,116601,26,Premium,6,9,In-Store,Clothing
332,58,Male,90341,13,Standard,6,5,In-Store,Home & Kitchen
333,38,Male,116601,49,Premium,5,5,In-Store,Clothing
334,22,Male,116601,97,Premium,18,4,Online,Beauty
335,22,Female,49180,80,Basic,4,3,Online,Clothing
336,38,Female,49180,60,Basic,13,6,Online,Toys
337,58,Male,49180,38,Basic,1,7,In-Store,Home & Kitchen
338,22,Female,116601,95,Standard,12,1,Mobile App,Clothing
339,38,Female,49180,76,Basic,8,3,Mobile App,Sports
340,58,Male,116601,40,Premium,13,8,Online,Beauty
341,58,Female,90341,13,Standard,8,7,Mobile App,Automotive
342,58,Male,90341,38,Standard,4,8,In-Store,Clothing
343,22,Male,49180,80,Basic,13,2,Online,Sports
344,38,Male,116601,51,Standard,16,4,Online,Home & Kitchen
345,22,Male,90341,95,Standard,17,2,Online,Sports
346,58,Female,90341,21,Basic,3,6,In-Store,Automotive
347,22,Male,90341,86,Standard,14,2,Online,Clothing
348,22,Female,90341,90,Standard,14,2,Online,Beauty
349,58,Male,116601,25,Premium,6,7,In-Store,Books
350,58,Female,90341,12,Standard,1,5,In-Store,Books
351,58,Male,49180,49,Basic,5,8,In-Store,Electronics
352,22,Female,49180,76,Basic,10,4,In-Store,Home & Kitchen
353,58,Female,49180,48,Basic,11,8,In-Store,Home & Kitchen
354,58,Male,90341,25,Basic,2,7,In-Store,Books
355,22,Male,49180,77,Standard,10,4,In-Store,Clothing
356,22,Female,90341,82,Basic,12,3,Online,Clothing
357,58,Male,49180,23,Basic,7,8,In-Store,Toys
358,38,Male,90341,46,Premium,4,6,Online,Electronics
359,22,Male,49180,97,Premium,24,4,Online,Beauty
360,22,Female,49180,71,Basic,13,3,In-Store,Beauty
361,22,Female,49180,94,Basic,5,4,In-Store,Toys
362,38,Male,90341,75,Standard,11,4,Online,Electronics
363,22,Female,90341,99,Standard,16,4,In-Store,Electronics
364,22,Female,90341,80,Standard,11,1,Online,Clothing
365,38,Male,90341,56,Basic,12,3,In-Store,Toys
366,22,Male,90341,81,Standard,12,3,In-Store,Clothing
367,38,Male,90341,67,Standard,15,3,Online,Home & Kitchen
368,58,Male,49180,34,Basic,7,9,In-Store,Home & Kitchen
369,58,Female,49180,18,Basic,11,9,In-Store,Home & Kitchen
370,38,Male,90341,50,Standard,18,4,In-Store,Beauty
371,22,Male,90341,73,Basic,10,1,Online,Beauty
372,38,Female,49180,50,Basic,3,4,In-Store,Clothing
373,58,Female,49180,34,Basic,2,8,In-Store,Home & Kitchen
374,22,Female,116601,83,Standard,17,1,Online,Clothing
375,58,Male,116601,49,Premium,4,8,Online,Home & Kitchen
376,58,Female,116601,28,Standard,4,6,In-Store,Beauty
377,22,Male,116601,84,Premium,16,2,Mobile App,Electronics
378,38,Male,49180,71,Basic,3,6,In-Store,Sports
379,22,Female,49180,79,Basic,11,1,Online,Home & Kitchen
380,58,Male,116601,22,Premium,3,6,Online,Home & Kitchen
381,58,Male,49180,34,Standard,7,7,In-Store,Beauty
382,38,Male,90341,42,Premium,5,5,Mobile App,Home & Kitchen
383,22,Female,90341,70,Basic,9,4,In-Store,Electronics
384,58,Male,49180,31,Basic,10,9,In-Store,Clothing
385,38,Male,116601,74,Premium,8,4,Online,Beauty
386,38,Male,49180,71,Basic,2,6,Online,Books
387,22,Male,116601,89,Standard,18,4,Online,Beauty
388,58,Male,90341,33,Standard,13,9,In-Store,Automotive
389,58,Male,116601,13,Standard,3,8,In-Store,Home & Kitchen
390,58,Male,116601,30,Standard,3,7,In-Store,Electronics
391,22,Male,116601,81,Basic,4,1,Online,Clothing
392,22,Male,116601,72,Premium,29,1,Online,Electronics
393,38,Male,49180,52,Standard,14,5,Online,Clothing
394,22,Female,90341,99,Premium,26,3,In-Store,Beauty
395,22,Female,49180,98,Basic,5,1,Online,Clothing
396,38,Male,116601,48,Premium,3,4,Mobile App,Toys
397,58,Female,90341,34,Basic,8,7,In-Store,Home & Kitchen
398,22,Female,49180,91,Standard,11,3,Online,Clothing
399,22,Male,116601,97,Premium,15,4,Online,Sports
400,22,Male,116601,82,Premium,21,3,Mobile App,Clothing
401,58,Female,49180,15,Premium,7,8,In-Store,Automotive
402,38,Female,49180,63,Standard,18,3,Mobile App,Home & Kitchen
403,58,Female,90341,28,Basic,2,6,In-Store,Home & Kitchen
404,22,Female,90341,94,Standard,12,1,Online,Electronics
405,22,Female,49180,85,Standard,17,4,Online,Automotive
406,22,Male,116601,73,Standard,15,2,Online,Toys
407,22,Male,49180,99,Basic,6,1,Online,Clothing
408,22,Female,49180,93,Basic,14,3,Online,Beauty
409,38,Female,116601,42,Premium,9,5,Mobile App,Home & Kitchen
410,38,Female,49180,61,Basic,10,6,Mobile App,Sports
411,22,Male,90341,83,Basic,3,4,Online,Clothing
412,22,Female,116601,91,Premium,16,1,Mobile App,Automotive
413,38,Female,49180,63,Basic,8,5,In-Store,Automotive
414,58,Male,116601,14,Basic,7,5,In-Store,Beauty
415,58,Male,49180,24,Basic,13,5,Mobile App,Toys
416,38,Female,90341,42,Basic,8,3,In-Store,Electronics
417,38,Female,90341,60,Standard,18,5,Online,Sports
418,38,Female,49180,49,Standard,12,4,In-Store,Sports
419,38,Female,116601,51,Premium,5,6,In-Store,Home & Kitchen
420,22,Male,90341,94,Standard,15,2,Online,Clothing
421,58,Male,116601,17,Standard,10,9,In-Store,Automotive
422,38,Male,49180,49,Basic,10,6,Mobile App,Sports
423,22,Male,116601,85,Premium,15,3,Online,Beauty
424,22,Male,90341,71,Standard,18,2,Online,Electronics
425,38,Female,116601,53,Premium,14,3,In-Store,Sports
426,58,Female,116601,47,Premium,9,9,Online,Clothing
427,38,Male,49180,72,Basic,12,4,In-Store,Clothing
428,58,Female,49180,22,Basic,13,6,In-Store,Beauty
429,22,Female,116601,71,Premium,25,2,In-Store,Clothing
430,58,Female,116601,15,Standard,12,8,In-Store,Home & Kitchen
431,38,Male,90341,59,Basic,13,4,Online,Electronics
432,38,Male,90341,63,Standard,10,3,Mobile App,Sports
433,22,Male,90341,79,Standard,12,1,In-Store,Beauty
434,58,Male,116601,38,Premium,4,6,In-Store,Electronics
435,22,Female,49180,77,Basic,8,1,Online,Automotive
436,22,Male,49180,87,Basic,2,2,Mobile App,Clothing
437,22,Female,116601,87,Premium,27,2,Online,Electronics
438,38,Female,49180,40,Standard,11,3,In-Store,Beauty
439,22,Male,116601,77,Standard,13,1,Online,Clothing
440,38,Female,90341,67,Standard,17,4,In-Store,Sports
441,58,Female,116601,27,Premium,5,5,Mobile App,Home & Kitchen
442,38,Female,49180,53,Basic,6,5,In-Store,Electronics
443,58,Male,116601,29,Standard,12,9,In-Store,Home & Kitchen
444,38,Male,49180,56,Basic,9,3,Online,Beauty
445,22,Male,90341,73,Basic,2,3,In-Store,Electronics
446,38,Female,116601,62,Standard,17,6,In-Store,Home & Kitchen
447,38,Female,116601,64,Premium,10,3,In-Store,Clothing
448,58,Female,49180,25,Premium,7,9,Online,Electronics
449,22,Male,116601,70,Standard,15,2,Online,Electronics
450,22,Female,116601,73,Basic,8,1,Mobile App,Clothing
451,58,Male,49180,24,Basic,10,6,Online,Home & Kitchen
452,38,Male,90341,43,Standard,16,3,Online,Electronics
453,22,Male,116601,98,Standard,19,1,Online,Toys
454,58,Male,116601,21,Basic,6,8,Online,Beauty
455,58,Female,49180,40,Basic,12,5,In-Store,Home & Kitchen
456,58,Female,49180,12,Basic,9,6,Online,Toys
457,58,Male,49180,34,Premium,13,6,In-Store,Home & Kitchen
458,38,Female,90341,41,Basic,4,4,Mobile App,Electronics
459,38,Female,116601,43,Premium,3,6,Online,Electronics
460,22,Female,49180,73,Standard,15,2,Online,Electronics
461,22,Female,116601,97,Premium,17,2,In-Store,Clothing
462,38,Female,49180,49,Basic,11,3,Online,Home & Kitchen
463,22,Male,49180,94,Basic,2,3,Online,Sports
464,38,Male,116601,76,Premium,11,4,Online,Home & Kitchen
465,22,Female,116601,90,Premium,20,3,In-Store,Electronics
466,58,Male,116601,39,Premium,9,6,Mobile App,Books
